Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,16.04,16.74,14.83,15.06,237233200,15.03
2009-11-02,14.85,16.62,14.12,15.85,163920700,15.81
2009-10-01,16.96,19.10,14.50,14.58,223308800,14.54
2009-09-01,17.70,18.08,16.02,16.92,187141400,16.87
2009-08-03,15.24,18.25,14.82,17.59,298184800,17.53
2009-07-01,13.27,14.79,11.27,14.79,323192000,14.74
2009-06-01,11.41,13.93,11.10,13.20,364632000,13.16
2009-05-01,8.79,15.07,8.55,11.27,577690800,11.22
2009-04-01,6.45,11.58,6.44,8.93,540229900,8.89
2009-03-02,3.61,8.57,3.00,6.82,483075700,6.79
2009-02-02,6.20,7.05,2.53,3.95,509904300,3.92
2009-01-02,13.92,14.81,5.05,6.58,255023700,6.53
2008-12-01,15.59,18.00,12.66,14.08,108571200,13.98
2008-11-03,23.97,24.62,10.01,16.25,131135800,15.78
2008-10-01,34.57,38.50,18.99,24.17,131320100,23.47
2008-09-02,32.73,39.50,25.00,35.00,114674400,33.98
2008-08-01,33.20,34.20,27.72,31.14,61768600,29.64
2008-07-01,23.31,34.50,18.44,32.90,123206000,31.32
2008-06-02,33.84,33.94,22.44,23.87,71291800,22.72
2008-05-01,37.66,40.65,33.25,34.01,39410300,31.75
2008-04-01,39.26,41.50,35.27,37.54,38286900,35.05
2008-03-03,39.74,43.46,34.25,37.91,54601100,35.39
2008-02-01,44.12,45.08,39.54,39.74,41334200,36.49
2008-01-02,41.53,44.50,33.12,44.15,61008100,40.54
2007-12-03,46.25,47.00,40.61,41.26,30753300,37.89
2007-11-01,46.75,47.00,41.73,46.13,38807700,41.75
2007-10-01,50.04,52.96,46.45,48.28,24583000,43.70
2007-09-04,50.62,51.93,48.60,50.27,23451200,45.50
2007-08-01,47.30,52.78,46.52,50.68,37144900,45.30
2007-07-02,49.15,50.20,46.90,47.42,26609100,42.38
2007-06-01,50.75,50.99,48.55,48.89,19772200,43.70
2007-05-01,51.00,51.90,50.47,50.71,15285100,45.32
2007-04-02,51.20,52.20,50.06,50.90,17063900,44.99
2007-03-01,50.25,52.15,48.36,51.02,18043300,45.10
2007-02-01,52.76,54.21,49.00,50.83,15662400,44.93
2007-01-03,53.40,54.18,51.35,52.58,16332700,45.97
2006-12-01,53.83,54.05,51.32,53.39,14650800,46.68
2006-11-01,54.15,55.08,53.22,53.85,10896400,47.08
2006-10-02,53.53,54.87,52.75,53.87,11467900,46.61
2006-09-01,51.83,54.00,50.80,53.57,12104100,46.35
