Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,1.93,2.15,1.90,2.10,30300,2.10
2009-11-02,2.04,2.15,1.90,1.95,50100,1.95
2009-10-01,1.74,2.15,1.69,2.02,44800,2.02
2009-09-01,1.75,1.79,1.66,1.71,42700,1.71
2009-08-03,1.68,1.78,1.58,1.75,74200,1.75
2009-07-01,1.64,1.67,1.40,1.61,47500,1.61
2009-06-01,1.66,1.76,1.60,1.65,48600,1.65
2009-05-01,1.63,1.77,1.57,1.67,73500,1.67
2009-04-01,1.81,1.85,1.55,1.66,111100,1.66
2009-03-02,1.63,2.05,1.55,1.86,85800,1.86
2009-02-02,1.90,1.96,1.65,1.70,61100,1.70
2009-01-02,2.24,2.38,1.86,1.91,80800,1.91
2008-12-01,2.93,3.30,2.00,2.23,224700,2.23
2008-11-03,2.46,3.27,1.99,2.72,119700,2.72
2008-10-01,1.98,3.19,1.51,2.38,96300,2.38
2008-09-02,2.53,2.60,1.84,2.05,16300,2.05
2008-08-01,2.65,2.73,2.45,2.51,17400,2.51
2008-07-01,2.70,2.70,2.36,2.66,12300,2.66
2008-06-02,2.60,2.74,2.38,2.68,23700,2.68
2008-05-01,2.44,2.80,2.17,2.57,41200,2.57
2008-04-01,2.40,2.50,2.27,2.43,19500,2.43
2008-03-03,2.30,2.54,2.01,2.42,44800,2.42
2008-02-01,2.40,2.42,2.09,2.30,34900,2.30
2008-01-02,2.40,2.46,2.13,2.44,33500,2.44
2007-12-03,2.45,2.46,2.22,2.37,52100,2.37
2007-11-01,2.71,2.88,2.42,2.42,54100,2.42
2007-10-01,3.06,3.58,2.71,2.77,71500,2.77
2007-09-04,2.75,3.61,2.72,3.08,83100,3.08
2007-08-01,3.18,3.24,2.61,2.75,69000,2.75
2007-07-02,3.32,3.46,3.11,3.21,53000,3.21
2007-06-01,3.28,4.00,3.21,3.32,161500,3.32
2007-05-01,4.08,4.25,3.26,3.29,109400,3.29
2007-04-02,4.14,4.25,4.05,4.08,71000,4.08
2007-03-01,4.26,4.42,4.06,4.16,84100,4.16
2007-02-01,4.25,4.80,4.18,4.26,186400,4.26
2007-01-03,4.26,5.30,4.17,4.26,269900,4.26
2006-12-01,4.53,4.72,4.10,4.19,246100,4.19
2006-11-01,5.36,5.46,4.50,4.55,192800,4.55
2006-10-02,5.10,6.09,4.82,5.37,504300,5.37
2006-09-01,5.35,6.05,4.70,5.12,310700,5.12
2006-08-01,4.63,5.89,4.10,5.31,343900,5.31
2006-07-03,4.15,7.28,4.04,4.64,781200,4.64
2006-06-01,5.33,5.33,4.03,4.15,119700,4.15
2006-05-01,6.60,6.60,4.91,5.04,210600,5.04
2006-04-03,10.70,11.48,5.81,6.39,583700,6.39
2006-03-01,9.24,11.79,8.05,10.70,336100,10.70
2006-02-01,10.97,11.20,8.05,9.00,402500,9.00
2006-01-03,9.04,11.84,8.90,10.80,867100,10.80
2005-12-01,18.09,18.46,8.50,8.90,1153000,8.90
2005-11-01,20.47,26.40,16.60,17.87,1005800,17.87
2005-10-03,23.69,25.37,16.75,20.54,824900,20.54
2005-09-01,26.27,29.85,22.78,23.47,856500,23.47
2005-08-01,28.39,29.00,22.35,25.87,883600,25.87
2005-07-01,16.00,26.89,15.95,26.75,1425400,26.75
2005-06-01,21.05,23.38,15.90,15.99,1146800,15.99
2005-05-02,15.30,21.95,13.55,20.92,1538200,20.92
2005-04-01,12.62,17.37,10.27,15.08,1912700,15.08
2005-03-01,8.16,13.48,7.51,12.99,1029400,12.99
2005-02-01,7.60,8.64,6.53,7.88,823400,7.88
2005-01-03,4.28,8.12,3.42,7.50,1118000,7.50
2004-12-01,2.79,4.59,2.62,4.18,234700,4.18
2004-11-01,2.07,2.90,2.07,2.83,14400,2.83
2004-10-01,2.35,2.64,2.02,2.38,12000,2.38
2004-09-01,2.13,2.38,2.06,2.28,9900,2.28
2004-08-02,2.26,2.34,1.90,2.16,16900,2.16
2004-07-01,2.82,2.88,2.15,2.29,31400,2.29
2004-06-01,2.55,2.98,2.50,2.63,23200,2.63
2004-05-03,2.78,2.94,2.45,2.59,37800,2.59
2004-04-01,2.15,3.75,2.08,2.68,257100,2.68
2004-03-01,2.40,2.40,1.94,2.21,22300,2.21
2004-02-02,2.42,2.45,2.25,2.40,23900,2.40
2004-01-02,2.76,3.15,2.32,2.41,127900,2.41
2003-12-01,2.25,2.40,2.08,2.40,57000,2.40
2003-11-03,2.45,2.85,2.20,2.30,56900,2.30
2003-10-01,2.54,2.56,2.15,2.48,35900,2.48
2003-09-02,2.75,3.00,2.30,2.38,99100,2.38
2003-08-01,1.78,2.85,1.63,2.67,108300,2.67
2003-07-01,1.61,1.90,1.56,1.78,27100,1.78
2003-06-02,1.80,1.85,1.44,1.62,35800,1.62
2003-05-01,1.94,2.10,1.63,1.76,28800,1.76
2003-04-01,1.53,2.58,1.50,1.94,54800,1.94
2003-03-03,1.92,2.11,1.41,1.84,20800,1.84
2003-02-03,2.09,2.59,1.76,1.98,36900,1.98
2003-01-02,1.16,2.26,1.09,2.03,87700,2.03
2002-12-02,0.92,1.38,0.81,1.10,34100,1.10
2002-11-01,0.81,0.95,0.73,0.94,12600,0.94
2002-10-01,0.82,0.92,0.73,0.85,5500,0.85
2002-09-03,0.85,0.90,0.74,0.81,7500,0.81
2002-08-01,0.75,1.00,0.73,0.85,7900,0.85
2002-07-01,0.76,0.90,0.67,0.81,13300,0.81
2002-06-03,0.80,0.86,0.75,0.76,2300,0.76
2002-05-01,0.82,0.91,0.75,0.76,2200,0.76
2002-04-01,0.90,0.98,0.71,0.80,5400,0.80
2002-03-01,0.93,1.04,0.84,0.90,7400,0.90
2002-02-04,0.99,1.04,0.91,0.95,4800,0.95
2002-01-02,1.03,1.14,0.80,0.95,12800,0.95
2001-12-03,0.95,1.19,0.85,0.87,6700,0.87
2001-11-01,0.98,1.18,0.59,0.95,8300,0.95
2001-10-01,0.77,1.08,0.64,0.95,4000,0.95
2001-09-04,0.90,0.99,0.55,0.75,14900,0.75
2001-08-01,0.99,1.00,0.70,0.92,3300,0.92
2001-07-02,1.02,1.05,0.83,0.90,9000,0.90
2001-06-01,1.14,1.17,0.90,1.02,3600,1.02
2001-05-01,1.11,1.23,1.00,1.19,4700,1.19
2001-04-02,1.16,1.25,1.12,1.16,1500,1.16
2001-03-01,1.20,1.53,1.00,1.12,17300,1.12
2001-02-01,1.44,1.75,1.09,1.12,23200,1.12
2001-01-02,0.95,1.50,0.94,1.44,35200,1.44
2000-12-01,0.94,1.06,0.69,0.94,38400,0.94
2000-11-01,1.16,1.25,0.81,1.00,30200,1.00
2000-10-02,1.39,1.50,1.00,1.06,28400,1.06
2000-09-01,1.23,1.75,1.12,1.47,64500,1.47
2000-08-01,2.12,2.12,1.03,1.12,31700,1.12
2000-07-03,2.16,2.25,1.50,1.75,10500,1.75
2000-06-01,2.00,2.44,1.69,2.12,25300,2.12
2000-05-01,2.12,2.56,1.50,1.50,28800,1.50
2000-04-03,2.94,3.13,1.50,2.00,24900,2.00
2000-03-01,3.59,3.97,2.87,3.13,30800,3.13
2000-02-01,3.62,3.94,2.87,3.62,35200,3.62
2000-01-03,3.13,4.50,2.50,3.69,91200,3.69
1999-12-01,2.94,3.38,2.50,3.25,58700,3.25
