Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,31.77,31.97,28.81,29.60,12579200,29.38
2009-11-02,32.13,34.55,29.99,31.58,14635300,31.35
2009-10-01,30.67,35.78,28.75,32.12,21598400,31.88
2009-09-01,28.83,33.33,27.01,30.88,22547000,30.61
2009-08-03,28.93,32.00,28.10,28.96,18412500,28.70
2009-07-01,28.58,29.33,24.85,28.50,24586100,28.25
2009-06-01,30.67,31.99,26.13,28.51,29021900,28.21
2009-05-01,23.74,30.35,23.69,30.32,42561600,30.00
2009-04-01,22.19,27.35,20.69,23.64,52266900,23.39
2009-03-02,18.86,27.27,16.12,22.77,60168100,22.46
2009-02-02,19.60,24.44,18.11,19.54,45847200,19.27
2009-01-02,16.01,23.42,13.10,20.23,39572100,19.95
2008-12-01,13.93,17.93,10.85,16.04,28968000,15.60
2008-11-03,17.88,19.26,8.80,14.75,38279000,14.35
2008-10-01,22.72,26.73,6.71,17.47,71253200,16.99
2008-09-02,41.96,44.50,11.70,23.00,71983400,22.10
2008-08-01,39.67,46.58,36.20,40.83,17297800,39.23
2008-07-01,35.50,40.35,29.60,39.48,25278100,37.93
2008-06-02,44.20,44.81,35.72,36.07,23280500,34.40
2008-05-01,48.86,51.42,41.12,44.23,11801400,42.18
2008-04-01,48.03,51.55,42.49,48.60,14124800,46.35
2008-03-03,42.15,51.80,33.56,45.70,25232100,43.34
2008-02-01,49.04,49.45,40.76,42.12,17069800,39.94
2008-01-02,52.98,53.40,42.57,49.34,19284900,46.79
2007-12-03,51.79,55.39,47.25,53.11,16887400,50.07
2007-11-01,65.02,65.02,47.56,52.72,19523500,49.70
2007-10-01,62.60,69.23,60.00,67.26,10396800,63.41
2007-09-04,62.54,69.87,60.50,63.00,11621300,59.16
2007-08-01,62.94,66.80,54.90,62.37,15459400,58.57
2007-07-02,70.94,73.64,61.50,63.87,12267800,59.98
2007-06-01,85.14,90.95,82.73,83.88,9478500,65.14
2007-05-01,84.31,87.44,82.51,85.04,4302400,66.04
2007-04-02,78.70,85.17,77.26,84.01,5748400,65.24
2007-03-01,72.67,82.00,70.30,78.76,8919900,60.96
2007-02-01,83.46,84.39,73.04,74.92,5891000,57.98
2007-01-03,81.93,84.66,79.60,82.79,4889500,64.07
2006-12-01,76.30,83.40,74.51,81.43,4069600,62.81
2006-11-01,76.60,80.00,73.30,76.16,4184400,58.75
2006-10-02,72.25,78.20,72.25,76.43,3770100,58.96
2006-09-01,66.15,73.65,65.26,72.91,4960300,56.04
2006-08-01,66.00,69.50,63.80,65.79,4489400,50.57
2006-07-03,63.39,66.66,60.18,66.50,4478400,51.11
2006-06-01,59.35,63.49,54.52,63.21,5525500,48.38
2006-05-01,64.65,66.00,57.58,59.62,4027400,45.63
2006-04-03,62.82,65.79,62.45,64.30,4116700,49.21
2006-03-01,59.70,64.23,58.41,62.82,4730000,47.88
2006-02-01,61.10,62.15,59.21,59.66,3553800,45.47
