Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,202.24,213.95,188.68,210.73,19068700,210.73
2009-11-02,189.80,208.00,185.57,199.91,15856500,199.91
2009-10-01,185.35,208.71,180.70,188.50,22197500,188.50
2009-09-01,167.99,188.90,164.11,185.35,17906300,185.35
2009-08-03,165.21,172.49,159.42,168.21,14415700,168.21
2009-07-01,143.50,165.00,134.42,163.39,18449100,163.39
2009-06-01,136.47,146.40,132.88,142.43,21282100,142.43
2009-05-01,125.80,135.90,119.38,135.81,17702900,135.81
2009-04-01,104.09,127.20,103.89,125.83,20952600,125.83
2009-03-02,88.12,109.98,82.33,105.12,25963400,105.12
2009-02-02,89.10,103.00,86.51,89.31,27394900,89.31
2009-01-02,85.88,97.17,78.20,90.13,33487900,90.13
2008-12-01,91.30,103.60,84.55,85.35,33800900,85.35
2008-11-03,105.93,111.79,79.14,92.67,44957200,92.67
2008-10-01,111.92,116.40,85.00,107.59,66902300,107.59
2008-09-02,172.40,173.50,100.59,113.66,43697600,113.66
2008-08-01,159.90,180.45,152.91,169.53,23273800,169.53
2008-07-01,164.23,180.91,146.53,158.95,33096200,158.95
2008-06-02,188.60,189.95,164.15,167.44,34281100,167.44
2008-05-01,174.96,192.24,172.00,188.75,32650300,188.75
2008-04-01,146.30,180.00,143.61,173.95,38841700,173.95
2008-03-03,124.44,145.74,118.00,143.50,42313100,143.50
2008-02-01,136.24,136.59,115.44,125.02,46645400,125.02
2008-01-02,199.27,200.26,126.14,135.36,62108100,135.36
2007-12-03,181.86,202.96,176.99,198.08,31771400,198.08
2007-11-01,188.60,192.68,150.63,182.22,46553700,182.22
2007-10-01,154.63,190.12,152.93,189.95,37438400,189.95
2007-09-04,139.94,155.00,130.00,153.47,40500600,153.47
2007-08-01,133.64,139.65,111.62,138.48,39188900,138.48
2007-07-02,121.05,148.92,119.30,131.76,43845100,131.76
2007-06-01,121.10,127.61,115.40,122.04,41526100,122.04
2007-05-01,99.59,122.17,98.55,121.19,30295600,121.19
2007-04-02,94.14,102.50,89.60,99.80,25136100,99.80
2007-03-01,84.03,96.83,83.75,92.91,26816800,92.91
2007-02-01,86.23,90.81,82.86,84.61,27522200,84.61
2007-01-03,86.29,97.80,81.90,85.73,50117500,85.73
2006-12-01,91.80,92.33,76.77,84.84,32084300,84.84
2006-11-01,81.10,93.16,77.79,91.66,25009100,91.66
2006-10-02,75.10,82.60,72.60,81.08,24171100,81.08
2006-09-01,68.48,77.78,67.82,76.98,32370300,76.98
2006-08-01,67.22,70.00,62.58,67.85,28668200,67.85
2006-07-03,57.52,68.63,50.16,67.96,32808100,67.96
2006-06-01,59.85,63.10,55.41,57.27,30318700,57.27
2006-05-01,70.77,73.80,58.69,59.77,27418400,59.77
2006-04-03,63.67,72.05,61.05,70.39,39246800,70.39
2006-03-01,68.84,69.99,57.67,62.72,37277000,62.72
2006-02-01,74.95,76.46,62.90,68.49,37646000,68.49
2006-01-03,72.38,86.40,70.87,75.51,40699800,75.51
2005-12-01,68.95,75.46,68.81,71.89,23279600,71.89
