Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,42.76,46.35,42.72,45.43,2142800,43.65
2009-11-02,40.82,42.99,40.61,42.91,1994900,41.23
2009-10-01,41.61,42.25,40.15,40.68,2078500,38.54
2009-09-01,40.14,41.77,39.29,40.94,1794800,38.79
2009-08-03,39.48,40.75,39.02,40.19,1802400,38.08
2009-07-01,37.50,39.75,36.46,39.36,1748200,36.75
2009-06-01,35.52,37.55,35.33,37.42,2369300,34.94
2009-05-01,37.21,38.17,34.36,35.46,3121900,33.11
2009-04-01,39.44,40.00,36.95,37.13,2531600,34.12
2009-03-02,36.01,39.99,32.56,39.61,2867800,36.40
2009-02-02,40.41,41.63,35.88,36.21,2395900,33.28
2009-01-02,39.00,41.79,38.59,40.75,2540700,36.90
2008-12-01,40.00,40.04,37.30,38.93,2023900,35.25
2008-11-03,43.42,44.86,37.13,40.39,3028900,36.58
2008-10-01,42.75,44.45,34.11,43.32,3164600,38.69
2008-09-02,41.25,46.39,40.15,42.96,3252100,38.36
2008-08-01,39.84,41.59,38.80,40.90,2448400,36.52
2008-07-01,39.00,39.78,37.38,39.70,2386300,34.95
2008-06-02,41.23,41.37,38.36,39.09,2194700,34.42
2008-05-01,41.72,42.73,41.05,41.30,1940800,36.36
2008-04-01,39.98,42.01,39.80,41.60,1981600,36.11
2008-03-03,40.90,42.15,39.30,39.70,3206400,34.47
2008-02-01,43.68,45.10,40.57,40.89,2499800,35.50
2008-01-02,48.67,49.30,42.46,43.57,3015700,37.31
2007-12-03,48.25,50.55,48.02,48.85,2112200,41.84
2007-11-01,47.05,49.15,45.95,48.45,2747200,41.49
2007-10-01,46.57,47.83,44.57,47.09,1500300,39.83
2007-09-04,46.01,47.53,44.75,46.30,1600900,39.16
2007-08-01,43.85,48.57,43.68,45.94,2953300,38.86
2007-07-02,45.35,46.26,43.10,43.68,2957700,36.50
2007-06-01,49.00,49.09,44.68,45.12,3084200,37.70
2007-05-01,51.33,52.00,47.53,48.82,2017500,40.79
2007-04-02,50.94,52.90,50.84,51.26,1556500,42.34
2007-03-01,48.15,51.40,47.46,51.06,1444800,42.18
2007-02-01,48.41,50.05,48.00,48.58,1421000,40.13
2007-01-03,48.12,48.70,47.07,48.28,1347600,39.41
2006-12-01,48.29,49.28,47.55,48.07,1088100,39.24
2006-11-01,48.47,48.88,47.33,48.22,1222700,39.36
2006-10-02,46.27,48.70,46.04,48.35,1131500,39.00
2006-09-01,46.14,46.96,44.93,46.20,1195200,37.26
2006-08-01,46.73,47.06,44.70,46.20,1219000,37.26
2006-07-03,44.64,47.45,44.25,46.87,1089200,37.33
2006-06-01,44.17,45.00,43.05,44.44,1224000,35.39
2006-05-01,43.50,44.48,41.17,44.10,1763800,35.12
2006-04-03,43.86,43.88,41.62,43.12,1441500,33.89
2006-03-01,45.81,45.87,43.35,43.50,989900,34.19
2006-02-01,47.05,47.19,44.93,45.87,1092200,36.05
2006-01-03,46.43,47.52,46.06,47.01,1151600,36.49
2005-12-01,46.10,47.25,44.41,46.33,1384500,35.96
2005-11-01,45.40,46.41,44.54,45.54,1076800,35.35
2005-10-03,48.74,49.10,43.70,45.50,1257600,34.88
2005-09-01,46.91,49.29,46.60,48.55,910600,37.21
2005-08-01,48.21,49.23,45.60,46.91,986000,35.96
2005-07-01,46.80,48.74,46.18,48.16,906700,36.47
2005-06-01,45.46,47.23,45.25,46.84,824100,35.47
2005-05-02,43.50,46.10,43.38,45.51,1426800,34.47
2005-04-01,42.40,43.65,41.50,43.28,1082900,32.36
2005-03-01,42.80,43.21,41.10,42.18,1285500,31.54
2005-02-01,43.71,44.71,42.32,42.75,1073800,31.97
2005-01-03,43.76,44.14,42.54,43.87,1048600,32.39
2004-12-01,44.08,44.75,43.13,43.75,931700,32.30
2004-11-01,43.38,45.59,42.91,43.85,907300,32.37
2004-10-01,42.16,44.00,42.09,43.45,803000,31.67
2004-09-01,42.10,42.90,41.36,42.04,726100,30.65
2004-08-02,40.97,42.20,40.40,42.20,718400,30.76
2004-07-01,39.62,40.97,39.12,40.97,857700,29.46
2004-06-01,39.42,40.53,38.61,39.76,960100,28.59
2004-05-03,41.10,41.58,37.23,39.26,2010500,28.23
2004-04-01,44.20,44.25,40.90,41.21,1103700,29.21
2004-03-01,44.17,45.01,43.42,44.10,782000,31.26
2004-02-02,43.84,44.49,42.45,44.17,1110000,31.31
2004-01-02,43.06,44.10,42.21,43.83,1097000,30.67
2003-12-01,40.05,43.48,40.05,43.01,721400,30.09
2003-11-03,40.67,41.31,38.80,40.30,892300,28.20
2003-10-01,40.80,41.43,40.05,40.47,740000,27.93
2003-09-02,39.25,41.25,39.05,40.76,778000,28.13
2003-08-01,39.70,40.69,38.55,39.53,1018600,27.28
2003-07-01,43.28,43.78,39.52,39.71,989200,27.03
2003-06-02,42.98,44.20,41.97,43.28,992900,29.46
2003-05-01,38.87,44.26,38.41,42.99,1535400,29.26
2003-04-01,38.46,39.95,38.20,38.87,840900,26.08
2003-03-03,39.25,39.71,37.63,38.47,937800,25.82
2003-02-03,39.91,40.18,36.55,39.00,847500,26.17
2003-01-02,42.95,46.02,39.09,39.92,1279000,26.41
2002-12-02,39.50,43.35,39.02,42.82,705500,28.32
2002-11-01,42.57,44.06,39.35,39.75,1024500,26.29
2002-10-01,40.30,45.16,39.51,42.57,1359400,27.79
2002-09-03,40.75,40.92,38.06,40.22,1099700,26.26
2002-08-01,42.50,43.80,40.50,40.69,979700,26.56
2002-07-01,41.75,42.95,32.65,42.85,1310400,27.61
2002-06-03,43.78,43.80,40.10,41.75,828100,26.91
2002-05-01,43.45,45.40,42.40,43.77,612500,28.21
2002-04-01,41.91,43.92,41.52,43.59,475300,27.74
2002-03-01,40.81,42.66,40.75,41.91,514300,26.67
2002-02-01,40.74,41.50,39.30,40.80,574700,25.96
2002-01-02,40.11,42.09,39.73,40.99,565000,25.73
2001-12-03,38.62,40.78,36.50,40.36,470400,25.34
2001-11-01,39.40,41.55,38.00,38.62,742100,24.25
2001-10-01,40.72,42.20,39.01,39.49,570200,24.46
2001-09-04,40.90,43.37,39.40,40.72,877800,25.22
2001-08-01,39.79,41.98,39.44,40.90,590200,25.34
2001-07-02,39.60,40.98,36.90,39.74,591300,24.29
2001-06-01,39.00,40.00,37.31,39.80,552500,24.33
2001-05-01,37.50,39.31,35.76,39.15,620300,23.93
2001-04-02,37.10,39.20,36.11,37.41,653200,22.53
2001-03-01,37.00,37.49,34.51,37.10,864500,22.34
2001-02-01,34.94,37.00,34.37,36.87,698600,22.21
2001-01-02,38.31,38.38,31.44,34.94,778500,20.73
2000-12-01,37.31,39.50,35.06,38.50,526400,22.84
2000-11-01,35.19,37.94,34.06,37.25,646700,22.10
2000-10-02,34.06,35.44,32.06,35.19,655200,20.56
2000-09-01,31.37,35.56,31.19,34.14,593700,19.94
2000-08-01,30.31,33.88,30.12,31.31,755300,18.29
2000-07-03,29.81,32.50,29.81,30.31,474800,17.42
2000-06-01,32.69,33.94,29.61,29.62,626500,17.02
2000-05-01,35.06,35.69,31.62,32.63,584800,18.75
2000-04-03,29.12,36.81,28.87,35.19,784500,19.90
2000-03-01,27.75,31.25,26.81,29.12,709000,16.47
2000-02-01,32.75,33.13,26.19,27.56,911800,15.59
2000-01-03,34.38,36.19,32.31,32.69,602700,18.18
1999-12-31,34.94,34.94,34.50,34.50,210000,19.18
