Date,Open,High,Low,Close,Volume,Adj Close
2009-12-01,127.29,132.85,126.00,130.90,5849900,128.44
2009-11-02,120.77,128.94,119.50,126.35,5852500,123.98
2009-10-01,119.39,128.61,117.26,120.61,8692800,117.82
2009-09-01,117.67,122.88,115.15,119.61,6631200,116.84
2009-08-03,118.88,120.88,116.12,118.05,5615200,115.32
2009-07-01,105.00,119.37,99.50,117.93,8250000,114.66
2009-06-01,106.94,110.64,103.51,104.42,7637000,101.53
2009-05-01,103.78,106.82,99.83,106.28,7997800,103.34
2009-04-01,96.13,106.05,95.70,103.21,10679800,99.83
2009-03-02,91.17,99.86,83.02,96.89,13666700,93.72
2009-02-02,90.60,97.10,82.85,92.03,12859400,89.02
2009-01-02,83.89,94.94,81.76,91.65,10928800,88.17
2008-12-01,80.95,87.27,75.31,84.16,8886900,80.96
2008-11-03,92.64,94.76,69.50,81.60,11695800,78.50
2008-10-01,115.51,116.80,78.82,92.97,14151200,88.94
2008-09-02,122.87,124.00,109.95,116.96,11304900,111.89
2008-08-01,128.52,129.97,121.50,121.73,6865900,116.46
2008-07-01,117.50,130.93,116.60,127.98,9396900,121.96
2008-06-02,128.49,129.37,118.15,118.53,7654600,112.95
2008-05-01,121.06,129.99,120.78,129.43,8008100,123.34
2008-04-01,115.20,125.00,113.86,120.70,9100700,114.55
2008-03-03,113.86,119.79,111.80,115.14,9449500,109.28
2008-02-01,107.16,116.63,100.60,113.86,8837700,108.06
2008-01-02,108.99,108.99,97.04,107.11,12218000,101.27
2007-12-03,105.55,112.19,104.00,108.10,6994100,102.21
2007-11-01,115.50,116.09,99.27,105.18,10181900,99.44
2007-10-01,117.61,121.46,110.96,116.12,7777600,109.40
2007-09-04,116.34,118.89,114.30,117.80,7366000,110.98
2007-08-01,110.39,117.35,103.70,116.69,9118400,109.94
2007-07-02,105.39,118.82,104.58,110.65,10979700,103.88
2007-06-01,106.62,107.24,101.56,105.25,8410400,98.81
2007-05-01,102.06,108.05,101.35,106.60,6888100,100.08
2007-04-02,94.51,103.00,93.91,102.21,8842800,95.58
2007-03-01,90.25,95.81,88.77,94.26,7765100,88.15
2007-02-01,98.97,100.44,92.47,92.94,7261400,86.91
2007-01-03,97.18,100.90,94.55,99.15,9961100,92.44
2006-12-01,91.90,97.88,90.55,97.15,5446300,90.58
2006-11-01,92.50,94.05,90.43,91.92,5280900,85.70
2006-10-02,81.76,92.68,81.56,92.33,8165200,85.81
2006-09-01,81.13,83.79,79.31,81.94,5377300,76.15
2006-08-01,76.65,81.68,75.05,80.97,4550700,75.25
2006-07-03,77.54,78.53,72.73,77.41,7128500,71.65
2006-06-01,79.89,80.87,76.06,76.82,6698600,71.11
2006-05-01,82.59,83.69,79.06,79.90,5433200,73.96
2006-04-03,82.72,84.45,80.63,82.34,6432000,75.94
2006-03-01,80.20,84.99,79.51,82.47,5103300,76.06
2006-02-01,80.90,82.24,78.93,80.24,6158500,74.01
2006-01-03,82.45,85.03,80.21,81.30,7663100,74.80
2005-12-01,89.15,89.92,81.56,82.20,5976200,75.62
2005-11-01,81.85,89.94,80.64,88.90,5556400,81.79
2005-10-03,80.22,84.60,78.70,81.88,7019600,75.15
2005-09-01,80.16,82.11,76.93,80.22,5772200,73.63
2005-08-01,83.00,84.20,79.87,80.62,4801300,73.99
2005-07-01,74.30,85.11,74.16,83.46,8056500,76.42
2005-06-01,75.57,77.73,73.45,74.20,6439500,67.94
