Index;ALTER;NETTOEIN;FERNSEHG;ARBEITSS;COMPUTER;KRANK_12;WOHNFLAE;KOEPERGR;GEWICHT
1;30;300;120;0;0;996;100;163;88
2;82;800;240;0;0;996;60;163;80
3;63;750;180;0;0;996;95;165;70
4;74;1100;240;0;0;996;998;160;999
5;70;1300;300;0;0;996;45;168;89
6;29;360;240;0;0;996;68;160;62
7;78;1400;240;0;0;996;73;168;999
8;62;150;240;0;0;996;108;183;999
9;27;800;120;30;999,9;5;100;174;90
10;20;350;300;0;20;996;97;180;60
11;70;700;270;0;0;996;52;170;60
12;72;530;240;0;0;996;998;162;75
13;20;420;60;38;1;0;998;166;78
14;49;1063;120;40;1;0;120;164;65
15;61;4000;90;999,9;2;999;400;190;999
16;40;630;180;0;0;996;160;174;70
17;64;853;210;0;0;996;90;160;97
18;60;700;345;0;0;996;100;157;71
19;63;1100;180;0;0;996;75;172;95
20;21;0;60;0;6;996;200;172;60
21;29;1500;240;43;6;5;65;177;75
22;55;1875;150;50;1;21;62;175;86
23;39;2300;120;35;10;30;161;172;93
24;59;800;300;0;3;996;80;178;95
25;40;450;240;0;10;996;85;186;91
26;67;700;240;0;0;996;90;156;71
27;43;1188;300;40;0;0;90;170;103
28;27;800;150;0;10;996;120;171;115
29;39;5000;180;40;8;0;150;168;98
30;44;3000;150;60;1,5;998;40;182;96
31;56;99997;120;40;0;15;90;170;107
32;65;6000;90;0;6;996;200;170;54
33;75;1100;180;0;0;996;60;170;78
34;65;1600;900;0;1;996;240;180;102
35;67;680;360;0;0;996;85;153;98
36;85;1000;180;0;0;996;24;178;84
37;46;600;60;0;0;996;114;176;74
38;53;314;360;0;0;996;73;172;68
39;78;520;120;0;0;996;120;155;92
40;43;2100;120;47;13;0;210;180;89
41;37;938;120;40;1;0;90;174;79
42;67;171;300;0;0;996;70;149;95
43;42;1875;60;54;2;0;120;178;91
44;79;1700;240;0;1;996;85;173;101
45;44;0;120;0;0,5;996;100;180;89
46;64;1300;240;0;0;996;68;165;90
47;74;240;240;0;0;996;96;158;120
48;53;150;120;0;5;996;57;160;67
49;48;0;150;0;0;996;89;166;82
50;44;1800;150;38,5;0,5;7;78;160;88
51;69;500;60;0;0;996;39;165;76
52;18;330;240;0;2;996;998;185;98
53;32;1188;180;35;10;14;140;168;92
54;73;99997;180;0;0;996;80;178;103
55;69;1875;240;0;0;996;125;180;68
56;45;1875;150;46;4;0;115;174;110
57;79;1020;120;0;0;996;72;170;81
58;60;430;240;0;0;996;170;179;82
59;41;99997;120;45;10;0;80;183;74
60;27;99999;90;30;0;15;86;172;67
61;18;520;90;35;3,5;0;120;182;66
62;20;0;240;0;3;996;64;175;72
63;61;990;240;0;8;996;110;182;105
64;22;1200;180;40;2;0;81;178;68
65;35;1500;180;60;4;0;180;185;88
66;63;780;180;0;0;996;110;164;999
67;79;520;180;0;0;996;46;162;88
68;54;506;240;0;0;996;80;162;92
69;63;99997;180;0;0;996;76;164;103
70;58;1200;210;38,5;0;235;63;170;60
71;61;550;300;0;0;996;75;160;65
72;64;960;240;0;0;996;50;180;65
73;25;0;240;0;0;996;80;164;86
74;66;650;300;0;7;996;120;160;122
75;86;99999;180;0;0;996;998;164;110
76;34;600;240;0;0;996;120;178;55
77;38;1500;120;40;6;5;72;180;85
78;75;150;180;0;0;996;100;150;94
79;23;0;300;0;0;996;80;158;75
80;18;400;90;37;0,5;3;52;172;85
81;51;3300;180;45;15;0;140;183;70
82;71;1063;240;0;0;996;100;175;95
83;45;688;60;50;4;5;100;186;115
84;30;960;270;0;0;996;53;174;96
85;37;1600;60;50;1;7;120;166;94
86;83;100;240;0;0;996;59;167;83
87;75;1100;30;0;0;996;998;172;73
88;55;2875;240;0;1;996;150;178;93
89;44;1438;90;30;4;0;120;168;90
90;63;938;120;16;7;0;180;173;80
91;62;1300;180;0;4;996;63;156;63
92;57;99997;30;40;10;0;104;160;52
93;56;3300;120;45;25;2;120;180;100
94;65;1625;240;0;5;996;154;173;84
95;40;200;120;0;0;996;130;171;92
96;45;4500;9999;0;0;996;260;172;70
97;47;700;150;20;7;14;150;153;68
98;79;1300;210;0;0;996;80;155;95
99;66;1300;165;0;0;996;65;160;80
100;82;1300;60;0;0;996;50;168;84
101;60;1350;120;39;2,5;14;84;170;88
102;44;813;120;40;0;0;112;168;62
103;28;2500;120;42;6;0;100;170;58
104;68;99997;180;0;0;996;120;164;110
105;38;780;240;0;0;996;82;176;60
106;22;1000;360;50;0;0;89;169;62
107;30;1500;60;60;30;0;60;167;93
108;36;3000;120;50;7;0;92;174;58
109;67;2500;90;0;10;996;120;184;95
110;39;1800;120;38;0,5;0;68;179;75
111;60;700;20;0;25;996;55;156;120
112;68;4500;120;0;12;996;220;183;90
113;69;99997;300;0;0;996;70;164;107
114;20;400;60;0;7;996;140;172;70
115;22;1313;120;40;5;0;60;164;83
116;71;900;360;0;0;996;80;158;75
117;37;2200;150;47;7;0;98;182;76
118;56;813;90;0;0;996;100;168;82
